Row Labels,Average of RTD Actual Load
7 AM,5941.65
8 AM,6280.25
9 AM,6461.933333
10 AM,6542.966667
11 AM,6569.416667
12 PM,6569.475
1 PM,6572.883333
2 PM,6548.85
3 PM,6634.916667
4 PM,6774.658333
5 PM,6917.5
6 PM,6790.733333
7 PM,6634.283333
8 PM,6435.45
9 PM,6185.466667
10 PM,5824.858333
11 PM,5378.825
8-Jan,5789.635616
12 AM,4992.208333
1 AM,4749.033333
2 AM,4597.733333
3 AM,4530.775
4 AM,4566.4
5 AM,4778.425
6 AM,5255.75
7 AM,5813.314286
8 AM,6123.725
9 AM,6295.55
10 AM,6384.641667
11 AM,6418.058333
12 PM,6432.491667
1 PM,6428.9
2 PM,6419.3
3 PM,6414.666667
4 PM,6512.885714
5 PM,6625.1
6 PM,6503.758333
7 PM,6328.45
8 PM,6129.533333
9 PM,5863.425
10 PM,5530.75
11 PM,5131.891667
9-Jan,5727.349655
12 AM,4781.158333
1 AM,4560.983333
2 AM,4440.258333
3 AM,4390.041667
4 AM,4425.008333
5 AM,4633.466667
6 AM,5169.375
7 AM,5715.033333
8 AM,6014.625
9 AM,6173.033333
10 AM,6231.6
11 AM,6272.441667
12 PM,6309.025
1 PM,6299.691667
2 PM,6311.358333
3 PM,6340.516667
4 PM,6489.771429
5 PM,6639.066667
6 PM,6541.258333
7 PM,6402.133333
8 PM,6219.416667
9 PM,6002.683333
10 PM,5679.433333
11 PM,5287.941667
10-Jan,5967.711806
12 AM,4943.925
1 AM,4738.958333
2 AM,4622.108333
3 AM,4575.45
4 AM,4622.858333
5 AM,4849.233333
6 AM,5336.925
7 AM,5910.775
8 AM,6264.508333
9 AM,6431.116667
10 AM,6515.616667
11 AM,6598.141667
12 PM,6631.683333
1 PM,6621.566667
2 PM,6560.908333
3 PM,6625.508333
4 PM,6704.583333
5 PM,6915.641667
6 PM,6835.683333
7 PM,6699.258333
8 PM,6504.633333
9 PM,6244.133333
10 PM,5932.808333
11 PM,5539.058333
11-Jan,6167.395302
12 AM,5208.725
1 AM,5005.658333
2 AM,4875.091667
3 AM,4839.991667
4 AM,4865.616667
5 AM,5098.883333
6 AM,5614.4
7 AM,6184.466667
8 AM,6522.5
9 AM,6733.516667
10 AM,6785.2
11 AM,6788.05
12 PM,6768.15
1 PM,6746.516667
2 PM,6713.116667
3 PM,6731.12
4 PM,6844.225
5 PM,7009.783333
6 PM,6929.158333
7 PM,6777.958333
8 PM,6563.492857
9 PM,6351
10 PM,6095.52
11 PM,5745.766667
12-Jan,5732.82451
12 AM,5413.533333
1 AM,5197.616667
2 AM,5054.058333
3 AM,4968.075
4 AM,4938.05
5 AM,4998.5
6 AM,5179.725
7 AM,5416.033333
8 AM,5692.214286
9 AM,5902.007143
10 AM,6011.414286
11 AM,6114.042857
12 PM,6109.757143
1 PM,6050.95
2 PM,6008.35
3 PM,6003.241667
4 PM,6065.658333
5 PM,6272.721429
6 PM,6297.13125
7 PM,6204.133333
8 PM,6071.183333
9 PM,5913.866667
10 PM,5749.657143
11 PM,5480.758333
13-Jan,5593.636552
12 AM,5219.575
1 AM,5001.683333
2 AM,4849.641667
3 AM,4762.841667
4 AM,4722.925
5 AM,4776.366667
6 AM,4900.141667
7 AM,5094.758333
8 AM,5341.858333
9 AM,5592.6
10 AM,5777.508333
11 AM,5884.066667
12 PM,5936.616667
1 PM,5922.875
2 PM,5916.15
3 PM,5950.066667
4 PM,6056.233333
5 PM,6307.766667
6 PM,6345.458333
7 PM,6298.341667
8 PM,6220.833333
9 PM,6058.516667
10 PM,5800.335714
11 PM,5475.666667
14-Jan,6183.901361
12 AM,5197.125
1 AM,5020.2
2 AM,4906.058333
3 AM,4864.916667
4 AM,4924.7
5 AM,5193.335714
6 AM,5675.8
7 AM,6253.333333
8 AM,6585.208333
9 AM,6783.5
10 AM,6839.158333
11 AM,6813.066667
12 PM,6779.414286
1 PM,6761.933333
2 PM,6739.558333
3 PM,6749.65
4 PM,6851.608333
5 PM,7029.958333
6 PM,6972.416667
7 PM,6831.716667
8 PM,6636.741667
9 PM,6379.275
10 PM,6007.55
11 PM,5583.316667
15-Jan,6106.840753
12 AM,5218.358333
1 AM,5011.608333
2 AM,4888.716667
3 AM,4848.391667
4 AM,4876.958333
5 AM,5095.275
6 AM,5620.75
7 AM,6199.733333
8 AM,6498.591667
9 AM,6631.066667
10 AM,6682.471429
11 AM,6693.75
12 PM,6684.025
1 PM,6657.05
2 PM,6626.958333
3 PM,6663.385714
4 PM,6751.941667
5 PM,6944.1
6 PM,6874.566667
7 PM,6722.133333
8 PM,6516.466667
9 PM,6271.266667
10 PM,5908.75
11 PM,5489.166667
16-Jan,6037.486644
12 AM,5137.725
1 AM,4922.125
2 AM,4789.033333
3 AM,4734.45
4 AM,4774.691667
5 AM,5003.05
6 AM,5520.766667
7 AM,6096.9
8 AM,6445.508333
9 AM,6634.866667
10 AM,6698.233333
11 AM,6697.875
12 PM,6714.358333
1 PM,6706.283333
2 PM,6645.483333
3 PM,6647.816667
4 PM,6728.208333
5 PM,6867.216667
6 PM,6772.025
7 PM,6612.991667
8 PM,6401.683333
9 PM,6160.871429
10 PM,5823.325
11 PM,5442.75
17-Jan,6069.064286
12 AM,5092.383333
1 AM,4910.533333
2 AM,4809.366667
3 AM,4766.966667
4 AM,4816.558333
5 AM,5065.757143
6 AM,5547.107143
7 AM,6136.75
8 AM,6424.966667
9 AM,6611.683333
10 AM,6653.683333
11 AM,6664.166667
12 PM,6673
1 PM,6666.166667
2 PM,6674.65
3 PM,6742.541667
4 PM,6825.983333
5 PM,6985.825
6 PM,6902.95
7 PM,6746.208333
8 PM,6530.358333
9 PM,6276.133333
10 PM,5938.975
11 PM,5537.614286
18-Jan,5981.659722
12 AM,5177.9
1 AM,4970.625
2 AM,4847.291667
3 AM,4773.775
4 AM,4800.133333
5 AM,5025.708333
6 AM,5496.466667
7 AM,6001.033333
8 AM,6318.191667
9 AM,6539.566667
10 AM,6601.633333
11 AM,6617.791667
12 PM,6645.75
1 PM,6632.95
2 PM,6595.883333
3 PM,6577.75
4 PM,6667.65
5 PM,6753.391667
6 PM,6625.9
7 PM,6440.258333
8 PM,6253.116667
9 PM,6030.466667
10 PM,5751.733333
11 PM,5414.866667
19-Jan,5515.041781
12 AM,5126.541667
1 AM,4907.008333
2 AM,4766.4
3 AM,4681.891667
4 AM,4659.325
5 AM,4730.625
6 AM,4900.675
7 AM,5121.958333
8 AM,5377.475
9 AM,5576.166667
10 AM,5744.541667
11 AM,5861.683333
12 PM,5927.007143
1 PM,5925.316667
2 PM,5940.316667
3 PM,5959.983333
4 PM,6005.416667
5 PM,6112.816667
6 PM,6111.533333
7 PM,6062.05
8 PM,5938.066667
9 PM,5824.441667
10 PM,5640.891667
11 PM,5408.042857
20-Jan,5593.814237
12 AM,5158.208333
1 AM,4946.733333
2 AM,4775.266667
3 AM,4683.266667
4 AM,4640.525
5 AM,4669.391667
6 AM,4750.391667
7 AM,4902.908333
8 AM,5117.858333
9 AM,5361.65
10 AM,5574.35
11 AM,5742.891667
12 PM,5804.875
1 PM,5807.075
2 PM,5856.341667
3 PM,5932.608333
4 PM,6052.6
5 PM,6317.325
6 PM,6462.425
7 PM,6469.146667
8 PM,6424.775
9 PM,6341.075
10 PM,6152.23125
11 PM,5902.65
21-Jan,6640.44223
12 AM,5655.85
1 AM,5474.541667
2 AM,5360.833333
3 AM,5311.216667
4 AM,5326.258333
5 AM,5492.941667
6 AM,5810.425
7 AM,6187.533333
8 AM,6558.75
9 AM,6846.166667
10 AM,7049.192308
11 AM,7200.086667
12 PM,7234.533333
1 PM,7235.425
2 PM,7230.157143
3 PM,7281.641667
4 PM,7423.058333
5 PM,7668.841667
6 PM,7686.466667
7 PM,7567.541667
8 PM,7389.891667
9 PM,7153.916667
10 PM,6766.866667
11 PM,6350.316667
22-Jan,6628.300997
12 AM,5977.135714
1 AM,5749.525
2 AM,5610.791667
3 AM,5538.721429
4 AM,5549.866667
5 AM,5758.866667
6 AM,6247.566667
7 AM,6776.308333
8 AM,7084.433333
9 AM,7238.975
10 AM,7299.116667
11 AM,7275.65
12 PM,7186.975
1 PM,7152.066667
2 PM,7114.521429
3 PM,7093.975
4 PM,7182.325
5 PM,7351.133333
6 PM,7272.45
7 PM,7124.386667
8 PM,6898.641667
9 PM,6638.166667
10 PM,6291.3
11 PM,5863.725
23-Jan,6193.875
12 AM,5493.358333
1 AM,5263.108333
2 AM,5128.158333
3 AM,5048.4
4 AM,5063.333333
5 AM,5275.933333
6 AM,5775.675
7 AM,6303.575
8 AM,6632.791667
9 AM,6832.65
10 AM,6910.483333
11 AM,6946.608333
12 PM,6928.183333
1 PM,6841.35
2 PM,6761.125
3 PM,6729.733333
4 PM,6806.8
5 PM,6916.65
6 PM,6786.241667
7 PM,6605.175
8 PM,6385.45
9 PM,6127.716667
10 PM,5762.416667
11 PM,5328.083333
24-Jan,5832.067708
12 AM,4956.191667
1 AM,4717.9
2 AM,4571.35
3 AM,4498.033333
4 AM,4520.258333
5 AM,4720.816667
6 AM,5223.733333
7 AM,5774.125
8 AM,6120.341667
9 AM,6337.633333
10 AM,6474.841667
11 AM,6550.925
12 PM,6561.166667
1 PM,6529.25
2 PM,6502.483333
3 PM,6503.55
4 PM,6564.675
5 PM,6623.625
6 PM,6567.825
7 PM,6401.016667
8 PM,6227.675
9 PM,5979.041667
10 PM,5704.583333
11 PM,5338.583333
25-Jan,5903.041034
12 AM,5010.833333
1 AM,4810.225
2 AM,4676.041667
3 AM,4616.6
4 AM,4650.166667
5 AM,4860.891667
6 AM,5352.183333
7 AM,5908.041667
8 AM,6272.871429
9 AM,6440.658333
10 AM,6472.583333
11 AM,6468.283333
12 PM,6439.058333
1 PM,6430.75
2 PM,6436.725
3 PM,6461.108333
4 PM,6555.708333
5 PM,6705.183333
6 PM,6653.008333
7 PM,6494.941667
8 PM,6312.075
9 PM,6140.225
10 PM,5875.975
11 PM,5567.208333
26-Jan,5591.346622
12 AM,5264.14375
1 AM,5071.666667
2 AM,4920.916667
3 AM,4850.975
4 AM,4828.683333
5 AM,4898.858333
6 AM,5072.683333
7 AM,5300.775
8 AM,5541.966667
9 AM,5755.8
10 AM,5889.15
11 AM,5963.875
12 PM,5961.358333
1 PM,5914.875
2 PM,5877.416667
3 PM,5892.491667
4 PM,5949.6
5 PM,6128.016667
6 PM,6187.633333
7 PM,6113.208333
8 PM,5983.3
9 PM,5847.021429
10 PM,5654.616667
11 PM,5418.542857
27-Jan,5309.719521
12 AM,5163.208333
1 AM,4957.008333
2 AM,4797.658333
3 AM,4708.775
4 AM,4659.916667
5 AM,4679.625
6 AM,4769.45
7 AM,4896.858333
8 AM,5072.841667
9 AM,5254.916667
10 AM,5383.016667
11 AM,5461.258333
12 PM,5512.866667
1 PM,5527.183333
2 PM,5550.35
3 PM,5592.883333
4 PM,5713.05
5 PM,5889.8
6 PM,5960.041667
7 PM,5905.816667
8 PM,5807.825
9 PM,5665.758333
10 PM,5415.8
11 PM,5110.183333
28-Jan,6051.356552
12 AM,4852.883333
1 AM,4704.133333
2 AM,4607.95
3 AM,4591.291667
4 AM,4659.133333
5 AM,4940.008333
6 AM,5478.133333
7 AM,6027.333333
8 AM,6387.191667
9 AM,6617.191667
10 AM,6687.666667
11 AM,6733.191667
12 PM,6742.066667
1 PM,6730.691667
2 PM,6677.9
3 PM,6695.283333
4 PM,6779.833333
5 PM,6944.775
6 PM,6919.033333
7 PM,6811.45
8 PM,6648.266667
9 PM,6402.341667
10 PM,6036.925
11 PM,5628.378571
29-Jan,6106.815862
12 AM,5263.45
1 AM,5052.4
2 AM,4920.458333
3 AM,4866.025
4 AM,4892.425
5 AM,5129.242857
6 AM,5628.133333
7 AM,6169.933333
8 AM,6513.308333
9 AM,6724.533333
10 AM,6768.466667
11 AM,6748.933333
12 PM,6743.533333
1 PM,6725.091667
2 PM,6705.883333
3 PM,6740.625
4 PM,6814.133333
5 PM,6900.216667
6 PM,6774.308333
7 PM,6632.558333
8 PM,6469.1
9 PM,6227.708333
10 PM,5856.166667
11 PM,5459.875
30-Jan,6422.156478
12 AM,5127.891667
1 AM,4943.791667
2 AM,4871.041667
3 AM,4873.425
4 AM,4946.266667
5 AM,5199.966667
6 AM,5746.5
7 AM,6345.8
8 AM,6654.916667
9 AM,6797.142857
10 AM,6841.85
11 AM,6835.15
12 PM,6816.466667
1 PM,6790.183333
2 PM,6809.216667
3 PM,6944.458333
4 PM,7164.578571
5 PM,7362.041667
6 PM,7495.1
7 PM,7469.891667
8 PM,7345.608333
9 PM,7138.707692
10 PM,6834.4
11 PM,6401.0375
31-Jan,6953.989333
12 AM,6032.576923
1 AM,5849.553846
2 AM,5727.266667
3 AM,5680.191667
4 AM,5709.25
5 AM,5920.75
6 AM,6394.675
7 AM,6959.175
8 AM,7300.814286
9 AM,7484.683333
10 AM,7546.742857
11 AM,7526.241667
12 PM,7512.125
1 PM,7471.841667
2 PM,7438.266667
3 PM,7449.833333
4 PM,7538.75
5 PM,7731.583333
6 PM,7739.0625
7 PM,7634.75
8 PM,7455.621429
9 PM,7211.35
10 PM,6837.158333
11 PM,6410.408333
1-Feb,6802.830208
12 AM,6061.95
1 AM,5844.9
2 AM,5679.091667
3 AM,5618.05
4 AM,5643.575
5 AM,5830.583333
6 AM,6311.566667
7 AM,6857.841667
8 AM,7153.558333
9 AM,7323.683333
10 AM,7419.583333
11 AM,7487.625
12 PM,7447.425
1 PM,7378.966667
2 PM,7351.9
3 PM,7337.383333
4 PM,7418.008333
5 PM,7520.558333
6 PM,7465.85
7 PM,7315.366667
8 PM,7116.141667
9 PM,6888.675
10 PM,6562.083333
11 PM,6233.558333
2-Feb,6077.112847
12 AM,5915.016667
1 AM,5707.483333
2 AM,5552.675
3 AM,5454.108333
4 AM,5427.9
5 AM,5496.683333
6 AM,5652.05
7 AM,5855.908333
8 AM,6091.983333
9 AM,6289.958333
10 AM,6402.008333
11 AM,6455.166667
12 PM,6449.941667
1 PM,6368.041667
2 PM,6301.583333
3 PM,6257.75
4 PM,6301.325
5 PM,6470.091667
6 PM,6565.233333
7 PM,6498.891667
8 PM,6374.033333
9 PM,6218.266667
10 PM,6002.066667
11 PM,5742.541667
3-Feb,5478.079861
12 AM,5447.558333
1 AM,5203.716667
2 AM,5035.866667
3 AM,4942.033333
4 AM,4903.558333
5 AM,4927.866667
6 AM,5042.15
7 AM,5177.275
8 AM,5352.641667
9 AM,5518.708333
10 AM,5627.8
11 AM,5693.266667
12 PM,5696.775
1 PM,5672.016667
2 PM,5643.733333
3 PM,5639.55
4 PM,5729.391667
5 PM,5937.475
6 PM,6038.291667
7 PM,5969.083333
8 PM,5850.625
9 PM,5711.333333
10 PM,5497.191667
11 PM,5216.008333
4-Feb,5724.558562
12 AM,4936.175
1 AM,4746.483333
2 AM,4627.133333
3 AM,4583.183333
4 AM,4625.358333
5 AM,4879.125
6 AM,5363.516667
7 AM,5880.791667
8 AM,6130.358333
9 AM,6275.966667
10 AM,6317.116667
11 AM,6305.216667
12 PM,6288.825
1 PM,6239.05
2 PM,6182.842857
3 PM,6192.958333
4 PM,6252.85
5 PM,6391.2
6 PM,6374.691667
7 PM,6256.283333
8 PM,6067.908333
9 PM,5835.341667
10 PM,5515.841667
11 PM,5141.914286
5-Feb,5532.50274
12 AM,4792.841667
1 AM,4567.35
2 AM,4427.65
3 AM,4375.366667
4 AM,4404.483333
5 AM,4615.366667
6 AM,5098.671429
7 AM,5540.791667
8 AM,5871.041667
9 AM,6069.258333
10 AM,6124.783333
11 AM,6120.225
12 PM,6070.841667
1 PM,6043.983333
2 PM,6020.771429
3 PM,6043.191667
4 PM,6100.366667
5 PM,6247.008333
6 PM,6223.266667
7 PM,6073.241667
8 PM,5870.675
9 PM,5672.891667
10 PM,5393.491667
11 PM,5003.433333
6-Feb,5621.38125
12 AM,4663.275
1 AM,4449.041667
2 AM,4359.383333
3 AM,4316.308333
4 AM,4363.391667
5 AM,4610.175
6 AM,5145.225
7 AM,5661.441667
8 AM,5961.908333
9 AM,6108.891667
10 AM,6141.133333
11 AM,6162.158333
12 PM,6150.958333
1 PM,6186.691667
2 PM,6190.875
3 PM,6227.216667
4 PM,6327.875
5 PM,6472.525
6 PM,6416.25
7 PM,6281.791667
8 PM,6092.941667
9 PM,5857.5
10 PM,5585.175
11 PM,5181.016667
7-Feb,5732.038621
12 AM,4842.633333
1 AM,4641.866667
2 AM,4517.833333
3 AM,4456.183333
4 AM,4486.558333
5 AM,4693.25
6 AM,5199.525
7 AM,5761.966667
8 AM,6067.291667
9 AM,6256.6
10 AM,6347.175
11 AM,6358.625
12 PM,6390.966667
1 PM,6390.058333
2 PM,6348.208333
3 PM,6366.041667
4 PM,6436.125
5 PM,6539.366667
6 PM,6471.066667
7 PM,6302.85
8 PM,6110.183333
9 PM,5891.766667
10 PM,5567.8
11 PM,5152.358333
8-Feb,5644.642373
12 AM,4814.466667
1 AM,4602.866667
2 AM,4490.875
3 AM,4432.182353
4 AM,4458.725
5 AM,4654.592857
6 AM,5156.95
7 AM,5688.308333
8 AM,6017.958333
9 AM,6243.133333
10 AM,6365.416667
11 AM,6385.141667
12 PM,6305.383333
1 PM,6198.291667
2 PM,6116.741667
3 PM,6128.925
4 PM,6173.516667
5 PM,6300.025
6 PM,6318.425
7 PM,6201.741667
8 PM,6064.883333
9 PM,5920.916667
10 PM,5701.325
11 PM,5400.825
9-Feb,5576.997222
12 AM,5117.716667
1 AM,4923.258333
2 AM,4805.05
3 AM,4708.008333
4 AM,4694.425
5 AM,4791.375
6 AM,4997.791667
7 AM,5240.525
8 AM,5530.9
9 AM,5754.766667
10 AM,5919.766667
11 AM,5991.083333
12 PM,5997.675
1 PM,5929.966667
2 PM,5892.433333
3 PM,5873.533333
4 PM,5918.175
5 PM,6079.583333
6 PM,6199.775
7 PM,6174.25
8 PM,6074.466667
9 PM,5950.325
10 PM,5757.1
11 PM,5525.983333
10-Feb,5506.67128
12 AM,5266.766667
1 AM,5078.008333
2 AM,4931.866667
3 AM,4839.491667
4 AM,4797.666667
5 AM,4839.691667
6 AM,4948.5
7 AM,5087.125
8 AM,5313.375
9 AM,5491.166667
10 AM,5629.1
11 AM,5721.05
12 PM,5778.65
1 PM,5784.616667
2 PM,5758.016667
3 PM,5763.441667
4 PM,5835.491667
5 PM,6050.658333
6 PM,6190.683333
7 PM,6147.925
8 PM,6046.975
9 PM,5896.891667
10 PM,5640.592308
11 PM,5311.2
11-Feb,5964.546875
12 AM,5018.133333
1 AM,4829.966667
2 AM,4725.408333
3 AM,4677.825
4 AM,4711.308333
5 AM,4896.725
6 AM,5395.741667
7 AM,5997.325
8 AM,6327.058333
9 AM,6532.291667
10 AM,6594.008333
11 AM,6626.358333
12 PM,6631.258333
1 PM,6599.441667
2 PM,6551.108333
3 PM,6551.266667
4 PM,6624.866667
5 PM,6738.883333
6 PM,6723.866667
7 PM,6600.45
8 PM,6405.8
9 PM,6176.841667
10 PM,5813.341667
11 PM,5399.85
12-Feb,6147.44726
12 AM,5060.108333
1 AM,4853.158333
2 AM,4735.325
3 AM,4692.316667
4 AM,4733.558333
5 AM,4999.491667
6 AM,5500
7 AM,6050.966667
8 AM,6411.975
9 AM,6657.658333
10 AM,6825.266667
11 AM,6909.142857
12 PM,6941.7
1 PM,6951.425
2 PM,6919.391667
3 PM,6921.716667
4 PM,6960.3
5 PM,7044.741667
6 PM,6999.25
7 PM,6824.408333
8 PM,6579.466667
9 PM,6304.116667
10 PM,5921.241667
11 PM,5482.683333
13-Feb,5901.750512
12 AM,5122.1
1 AM,4884.3
2 AM,4741.133333
3 AM,4683.225
4 AM,4711.008333
5 AM,4923.466667
6 AM,5428.691667
7 AM,5906.008333
8 AM,6192.858333
9 AM,6340.883333
10 AM,6357.658333
11 AM,6411.807692
12 PM,6388.833333
1 PM,6407.533333
2 PM,6455.423077
3 PM,6462.561538
4 PM,6524.175
5 PM,6622.666667
6 PM,6661.025
7 PM,6543.175
8 PM,6346.4
9 PM,6141.883333
10 PM,5803.9
11 PM,5371.808333
14-Feb,5819.655517
12 AM,5033.333333
1 AM,4889.891667
2 AM,4775.833333
3 AM,4715.091667
4 AM,4750.966667
5 AM,4987.725
6 AM,5488.358333
7 AM,6004.033333
8 AM,6282.733333
9 AM,6416.233333
10 AM,6435.266667
11 AM,6395.166667
12 PM,6355.108333
1 PM,6309.891667
2 PM,6268.3
3 PM,6279.925
4 PM,6343.458333
5 PM,6463.366667
6 PM,6455.491667
7 PM,6309.133333
8 PM,6112.608333
9 PM,5892.508333
10 PM,5588.441667
11 PM,5218.978571
15-Feb,5581.515068
12 AM,4876.583333
1 AM,4646.016667
2 AM,4516.583333
3 AM,4462.408333
4 AM,4487.566667
5 AM,4685
6 AM,5160.85
7 AM,5657.475
8 AM,5984.683333
9 AM,6191.083333
10 AM,6284.3
11 AM,6316.308333
12 PM,6284.666667
1 PM,6190.8
2 PM,6089.041667
3 PM,6053.3
4 PM,6117.1
5 PM,6224.615385
6 PM,6144.95
7 PM,5981.408333
8 PM,5795.575
9 PM,5576.041667
10 PM,5300.033333
11 PM,5017.406667
16-Feb,5111.929514
12 AM,4726.45
1 AM,4518.525
2 AM,4393.183333
3 AM,4335.125
4 AM,4330.125
5 AM,4411.966667
6 AM,4598.158333
7 AM,4812.25
8 AM,5042.725
9 AM,5231.983333
10 AM,5376.725
11 AM,5441.791667
12 PM,5450.225
1 PM,5405.091667
2 PM,5373.841667
3 PM,5358.191667
4 PM,5402.65
5 PM,5536.591667
6 PM,5708.916667
7 PM,5699.991667
8 PM,5602.991667
9 PM,5496.283333
10 PM,5322.491667
11 PM,5110.033333
17-Feb,5190.353425
12 AM,4900.466667
1 AM,4733
2 AM,4607.458333
3 AM,4541.891667
4 AM,4525.925
5 AM,4578.6
6 AM,4696.733333
7 AM,4823.658333
8 AM,5009.541667
9 AM,5171.591667
10 AM,5313.325
11 AM,5388.175
12 PM,5430.608333
1 PM,5477.6375
2 PM,5461.45
3 PM,5436.225
4 PM,5474.658333
5 PM,5646.541667
6 PM,5800.108333
7 PM,5774.841667
8 PM,5682.691667
9 PM,5561.6
10 PM,5342.416667
11 PM,5093.575
18-Feb,5511.942759
12 AM,4844.691667
1 AM,4660.066667
2 AM,4537.775
3 AM,4479.491667
4 AM,4487.841667
5 AM,4615.15
6 AM,4870.733333
7 AM,5145.107143
8 AM,5436.85
9 AM,5687.508333
10 AM,5896.133333
11 AM,5990.775
12 PM,6006.716667
1 PM,6020.533333
2 PM,6000.225
3 PM,5966.191667
4 PM,5978.625
5 PM,6105.383333
6 PM,6253.333333
7 PM,6234.816667
8 PM,6103.066667
9 PM,5934.141667
10 PM,5699.908333
11 PM,5392.7
19-Feb,5974.818056
12 AM,5114.05
1 AM,4924.025
2 AM,4805.608333
3 AM,4759.416667
4 AM,4798.975
5 AM,5020.091667
6 AM,5475.441667
7 AM,5967.516667
8 AM,6323.641667
9 AM,6517.383333
10 AM,6584.641667
11 AM,6576.441667
12 PM,6567.633333
1 PM,6535.333333
2 PM,6493.366667
3 PM,6494.633333
4 PM,6568.358333
5 PM,6696.7
6 PM,6706.641667
7 PM,6578.383333
8 PM,6365.35
9 PM,6161.675
10 PM,5864.408333
11 PM,5495.916667
20-Feb,6116.221649
12 AM,5164.841667
1 AM,4941.741667
2 AM,4819.5
3 AM,4757.583333
4 AM,4789.125
5 AM,5002.133333
6 AM,5454.933333
7 AM,5951.875
8 AM,6364.9
9 AM,6616.316667
10 AM,6718.116667
11 AM,6807.791667
12 PM,6858.958333
1 PM,6879.958333
2 PM,6864.208333
3 PM,6873.333333
4 PM,6913.316667
5 PM,6980.866667
6 PM,6939.441667
7 PM,6761.316667
8 PM,6549.791667
9 PM,6286.9
10 PM,5955.466667
11 PM,5577.091667
21-Feb,5739.444558
12 AM,5231.291667
1 AM,4991.941667
2 AM,4856.433333
3 AM,4774.841667
4 AM,4787.035714
5 AM,4959.791667
6 AM,5370.983333
7 AM,5828.233333
8 AM,6161.392857
9 AM,6303.383333
10 AM,6337.716667
11 AM,6314.725
12 PM,6260.066667
1 PM,6222.033333
2 PM,6205.658333
3 PM,6174.9
4 PM,6212.341667
5 PM,6240.325
6 PM,6161.975
7 PM,6093.3
8 PM,5968.541667
9 PM,5786.908333
10 PM,5496.9
11 PM,5134.783333
