Row Labels,Average of RTD Actual Load
1-Jan,4984.640484
12 AM,4917.538462
1 AM,4743.608333
2 AM,4551.125
3 AM,4408.241667
4 AM,4323.991667
5 AM,4323.75
6 AM,4406.341667
7 AM,4501.075
8 AM,4608.183333
9 AM,4761.175
10 AM,4924.566667
11 AM,5047.65
12 PM,5095.5
1 PM,5106.216667
2 PM,5166.975
3 PM,5226.683333
4 PM,5392.733333
5 PM,5651.083333
6 PM,5699.566667
7 PM,5643.525
8 PM,5562.716667
9 PM,5436.441667
10 PM,5207.283333
11 PM,4930.991667
2-Jan,5690.159864
12 AM,4651.333333
1 AM,4478.258333
2 AM,4371.966667
3 AM,4332.316667
4 AM,4383.608333
5 AM,4606.525
6 AM,5087.475
7 AM,5636.7
8 AM,5975.216667
9 AM,6177.491667
10 AM,6241.383333
11 AM,6255.566667
12 PM,6249.4
1 PM,6274.525
2 PM,6277.75
3 PM,6331.691667
4 PM,6486.164286
5 PM,6671.858333
6 PM,6547.666667
7 PM,6399.116667
8 PM,6202.833333
9 PM,5966.092857
10 PM,5610.528571
11 PM,5182.983333
3-Jan,5682.471528
12 AM,4820.55
1 AM,4585.883333
2 AM,4446.425
3 AM,4385.075
4 AM,4395.783333
5 AM,4600.8
6 AM,5071.241667
7 AM,5607.35
8 AM,5948.283333
9 AM,6133.641667
10 AM,6211.283333
11 AM,6260.875
12 PM,6301.2
1 PM,6270.141667
2 PM,6254.241667
3 PM,6308.758333
4 PM,6450.375
5 PM,6618.716667
6 PM,6498.233333
7 PM,6345.391667
8 PM,6154.366667
9 PM,5914.341667
10 PM,5590.85
11 PM,5205.508333
4-Jan,5673.87931
12 AM,4856.441667
1 AM,4640.141667
2 AM,4511.95
3 AM,4456.5
4 AM,4482.983333
5 AM,4705.841667
6 AM,5186.558333
7 AM,5712.525
8 AM,6018.008333
9 AM,6183.85
10 AM,6238.975
11 AM,6267.483333
12 PM,6268.208333
1 PM,6256.391667
2 PM,6246.408333
3 PM,6294.908333
4 PM,6374.4
5 PM,6505.307143
6 PM,6359.666667
7 PM,6167.608333
8 PM,5955.691667
9 PM,5733.583333
10 PM,5478.233333
11 PM,5132.866667
5-Jan,5191.066552
12 AM,4809.65
1 AM,4581.191667
2 AM,4439.016667
3 AM,4353.135714
4 AM,4324.091667
5 AM,4374.35
6 AM,4529.983333
7 AM,4739.041667
8 AM,4990.616667
9 AM,5260.308333
10 AM,5478.941667
11 AM,5593.533333
12 PM,5664.658333
1 PM,5648.633333
2 PM,5635.85
3 PM,5639.541667
4 PM,5726.316667
5 PM,5837.85
6 PM,5832.291667
7 PM,5763.966667
8 PM,5636.9
9 PM,5500.416667
10 PM,5302.55
11 PM,5062.416667
6-Jan,5131.225347
12 AM,4804.541667
1 AM,4594.833333
2 AM,4429.891667
3 AM,4338.366667
4 AM,4302.525
5 AM,4328.783333
6 AM,4430.816667
7 AM,4583.458333
8 AM,4797.583333
9 AM,5058.683333
10 AM,5268.733333
11 AM,5366.108333
12 PM,5377.95
1 PM,5390.091667
2 PM,5390.983333
3 PM,5436.116667
4 PM,5563.441667
5 PM,5819.933333
6 PM,5914.6
7 PM,5879.075
8 PM,5800.625
9 PM,5673.183333
10 PM,5450.716667
11 PM,5148.366667
7-Jan,5948.165972
12 AM,4892.916667
1 AM,4734.916667
2 AM,4614.908333
3 AM,4575.941667
4 AM,4627.091667
5 AM,4869.475
6 AM,5376.616667
